0,AIOneName,AIOneDiff,AITwoName,AITwoDiff,WhoWentFirst,WinnerName,WinnerDiff,WinnerSymbol
873,AI_1,2,AI_2,1,1,AI_1,2,X
874,AI_1,2,AI_2,2,0,TIE,N/A,N/A
875,AI_1,0,AI_2,0,1,AI_2,0,O
876,AI_1,0,AI_2,2,0,TIE,N/A,N/A
877,AI_1,0,AI_2,1,1,TIE,N/A,N/A
878,AI_1,0,AI_2,1,0,TIE,N/A,N/A
879,AI_1,0,AI_2,0,1,AI_2,0,O
880,AI_1,0,AI_2,2,1,AI_2,2,O
881,AI_1,0,AI_2,0,1,TIE,N/A,N/A
882,AI_1,2,AI_2,0,1,TIE,N/A,N/A
883,AI_1,1,AI_2,2,0,TIE,N/A,N/A
884,AI_1,2,AI_2,1,1,TIE,N/A,N/A
885,AI_1,1,AI_2,2,0,TIE,N/A,N/A
886,AI_1,1,AI_2,1,1,TIE,N/A,N/A
887,AI_1,2,AI_2,1,1,TIE,N/A,N/A
888,AI_1,0,AI_2,1,1,AI_1,0,X
889,AI_1,1,AI_2,1,0,TIE,N/A,N/A
890,AI_1,0,AI_2,0,1,AI_1,0,X
891,AI_1,1,AI_2,2,1,AI_2,2,O
892,AI_1,1,AI_2,2,0,TIE,N/A,N/A
893,AI_1,2,AI_2,1,1,AI_1,2,X
894,AI_1,1,AI_2,2,1,AI_2,2,O
895,AI_1,2,AI_2,0,1,AI_2,0,O
896,AI_1,0,AI_2,0,0,AI_2,0,O
897,AI_1,1,AI_2,0,0,AI_2,0,O
898,AI_1,1,AI_2,0,0,AI_2,0,O
899,AI_1,0,AI_2,2,1,AI_2,2,O
900,AI_1,0,AI_2,1,0,TIE,N/A,N/A
901,AI_1,0,AI_2,2,1,AI_2,2,O
902,AI_1,2,AI_2,0,1,AI_2,0,O
903,AI_1,0,AI_2,1,1,TIE,N/A,N/A
904,AI_1,0,AI_2,2,1,AI_2,2,O
905,AI_1,1,AI_2,2,1,AI_2,2,O
906,AI_1,1,AI_2,2,1,AI_2,2,O
907,AI_1,0,AI_2,1,1,AI_1,0,X
908,AI_1,1,AI_2,0,0,AI_1,1,X
909,AI_1,0,AI_2,0,1,AI_2,0,O
910,AI_1,2,AI_2,1,1,TIE,N/A,N/A
911,AI_1,2,AI_2,2,1,AI_2,2,O
912,AI_1,0,AI_2,2,0,TIE,N/A,N/A
913,AI_1,1,AI_2,0,1,TIE,N/A,N/A
