0,AIOneName,AIOneDiff,AITwoName,AITwoDiff,WhoWentFirst,WinnerName,WinnerDiff,WinnerSymbol
234,AI_1,0,AI_2,0,1,AI_1,0,X
235,AI_1,2,AI_2,1,0,TIE,N/A,N/A
236,AI_1,0,AI_2,1,0,TIE,N/A,N/A
237,AI_1,2,AI_2,2,0,TIE,N/A,N/A
238,AI_1,2,AI_2,1,0,TIE,N/A,N/A
239,AI_1,2,AI_2,1,1,TIE,N/A,N/A
240,AI_1,1,AI_2,1,1,TIE,N/A,N/A
241,AI_1,0,AI_2,2,0,TIE,N/A,N/A
242,AI_1,1,AI_2,0,1,AI_1,1,X
243,AI_1,1,AI_2,2,1,AI_2,2,O
244,AI_1,0,AI_2,0,0,AI_1,0,X
245,AI_1,0,AI_2,0,0,AI_1,0,X
246,AI_1,0,AI_2,2,1,AI_2,2,O
247,AI_1,2,AI_2,2,1,AI_2,2,O
